Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	0.00010891770559643942	2.1983461912657558e-07	360.3296203613281	855.7825317382812	360.32965087890625	855.7825927734375	3.0517578125e-05	6.159531296621625e-08	1	3.0517578125e-05	6.159531296621625e-08	1	58.91545056216931	1
8	0.0008396984197895784	1.6948096848421293e-06	360.3296203613281	855.7825317382812	360.3288269042969	855.78173828125	0.00079345703125	1.6014781371216225e-06	1	0.00079345703125	1.6014781371216225e-06	1	30.79858630952381	1
7	0.40764702402515174	0.000822776496933303	360.3296203613281	855.7825317382812	360.6209716796875	855.345703125	0.291351318359375	0.0005880504528884665	1	0.291351318359375	0.0005880504528884665	1	381.3911257164903	1
6	2.839322272263717	0.0057307609160755415	360.3296203613281	855.7825317382812	356.9017028808594	854.7429809570312	3.42791748046875	0.006918755124243206	1	3.42791748046875	0.006918755124243206	1	2638.1401441247795	1
5	6.407793932785222	0.012933204302657205	360.3296203613281	855.7825317382812	343.0957336425781	839.1895141601562	10.843017578125	0.0218850610781485	1	18.9945068359375	0.03833766193392859	1	5939.542720458554	0
4	9.666591758181388	0.01951061588907882	360.3296203613281	855.7825317382812	340.80535888671875	745.9454956054688	17.692718505859375	0.0357101906687287	1	29.79608154296875	0.06013907657706897	1	8959.901398258378	0
3	13.387484256216247	0.027020698667972444	360.3296203613281	855.7825317382812	350.39239501953125	715.7351684570312	23.941192626953125	0.04832183099856148	1	29.474884033203125	0.05949078590809954	1	12603.614313271604	0
2	16.597828281846628	0.0335003132749368	360.3296203613281	855.7825317382812	351.6431579589844	695.6862182617188	39.256683349609375	0.07923393157316083	1	28.22412109375	0.056966302006179165	1	16011.831314484127	0
1	30.063827514900733	0.06067948305588729	360.3296203613281	855.7825317382812	441.3431701660156	613.5574951171875	127.6583251953125	0.25765984643148293	1	4.357177734375	0.008794332404064492	1	51592.238266369044	0
0	34.18600190515871	0.06899949523474566	360.3296203613281	855.7825317382812	522.0157470703125	522.0157470703125	161.68612670898438	0.3263400370810123	1	34.18600190515871	0.06899949523474566	3628800	103150.65666611552	1
