Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	0.003538772071690366	3.877256570275409e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	30293.431516203702	1
8	0.003538772071690366	3.877256570275409e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	30293.431516203702	1
7	0.003539358202952767	3.8778987651503963e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	30287.493059964727	1
6	0.0035287865801883543	3.8663159638307815e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	30227.18852127425	1
5	0.0034646270052255566	3.7960195083001607e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	29732.278684964727	1
4	0.0033360258233610285	3.6551175888693203e-07	15165.0	24292.0	15165.0068359375	24292.00390625	0.0068359375	7.489796756875206e-07	1	0.0068359375	7.489796756875206e-07	1	28154.432809468693	1
3	0.0032592913377011683	3.5710434290579254e-07	15165.0	24292.0	15165.00390625	24292.00390625	0.00390625	4.279883861071546e-07	1	0.00390625	4.279883861071546e-07	1	25987.72503113977	1
2	0.003249694985687417	3.5605291833980687e-07	15165.0	24292.0	15165.00390625	24292.00390625	0.00390625	4.279883861071546e-07	1	0.00390625	4.279883861071546e-07	1	23120.718107363315	1
1	122.13735845118393	0.013381982957289791	15165.0	24292.0	15324.3037109375	24118.703125	159.3037109375	0.017454115365125453	1	159.3037109375	0.017454115365125453	1	48951.08725308642	1
0	1283.605287409922	0.14063824777143882	15165.0	24292.0	19731.10546875	19731.10546875	4566.10546875	0.5002854682535335	1	1283.605287409922	0.14063824777143882	3628800	4458.10013117284	1
