Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	0.0021767539910748732	1.743774726487922e-07	9132.0	21615.0	9132.001953125	21615.0	0.002197265625	1.7602063806777216e-07	4	0.001953125	1.5646278939357525e-07	3	28678.745745425484	3
8	0.0021767539910748732	1.743774726487922e-07	9132.0	21615.0	9132.001953125	21615.0	0.002197265625	1.7602063806777216e-07	4	0.001953125	1.5646278939357525e-07	3	28678.745745425484	3
7	0.002176621048538773	1.7436682276205824e-07	9132.0	21615.0	9132.001953125	21615.0	0.002197265625	1.7602063806777216e-07	4	0.001953125	1.5646278939357525e-07	3	28683.484808752204	3
6	0.002171825698233576	1.7398267229300458e-07	9132.0	21615.0	9132.001953125	21615.0	0.002685546875	2.1513633541616597e-07	4	0.001953125	1.5646278939357525e-07	2	28503.895392416227	2
5	0.0021429058525717867	1.7166593387581403e-07	9132.0	21615.0	9132.001953125	21615.0	0.002685546875	2.1513633541616597e-07	4	0.001953125	1.5646278939357525e-07	2	27749.708759920635	2
4	0.0020817444816468252	1.6676636078241009e-07	9132.0	21615.0	9132.001953125	21615.0	0.0029296875	2.3469418409036288e-07	4	0.001953125	1.5646278939357525e-07	2	26631.808282352293	2
3	0.24478263007269965	1.9609279025290365e-05	9132.0	21615.0	9131.9375	21614.712890625	0.06201171875	4.967693563246014e-06	4	0.0625	5.006809260594408e-06	2	275371.64250358246	2
2	5.897804493307016	0.0004724669144682381	9132.0	21615.0	9107.408203125	21613.91796875	15.615234375	0.0012509200012016343	4	24.591796875	0.001970022981254506	1	693345.351971175	1
1	167.05038800194149	0.013382230874144155	9132.0	21615.0	9303.642578125	20941.015625	268.581298828125	0.021515765347122087	4	171.642578125	0.013750106394696787	1	822958.0611700838	1
0	1622.0456883215527	0.1299403739743293	9132.0	21615.0	14856.08984375	14856.08984375	5724.08984375	0.4585508166105904	4	1622.0456883215527	0.1299403739743293	3628800	5496.074991181657	4
