Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
9	0.002971357584420125	2.5677130871242006e-07	7558.0	19130.0	7558.00244140625	19130.001953125	0.003173828125	2.742678988074663e-07	2	0.00244140625	2.1097530677497407e-07	1	21033.242220017637	1
8	0.002971357584420125	2.5677130871242006e-07	7558.0	19130.0	7558.00244140625	19130.001953125	0.003173828125	2.742678988074663e-07	2	0.00244140625	2.1097530677497407e-07	1	21033.242220017637	1
7	0.0029712861345348326	2.567651343358825e-07	7558.0	19130.0	7558.00244140625	19130.001953125	0.003173828125	2.742678988074663e-07	2	0.00244140625	2.1097530677497407e-07	1	21028.948917824073	1
6	0.002969483875093006	2.566093912109407e-07	7558.0	19130.0	7558.00244140625	19130.001953125	0.002685546875	2.3207283745247148e-07	2	0.00244140625	2.1097530677497407e-07	1	20922.23375	1
5	0.0029607743897345543	2.5585675680388477e-07	7558.0	19130.0	7558.00244140625	19130.001953125	0.002685546875	2.3207283745247148e-07	2	0.00244140625	2.1097530677497407e-07	1	20250.763843143737	1
4	0.002938840216850267	2.539613046016477e-07	7558.0	19130.0	7558.00244140625	19130.0	0.003173828125	2.742678988074663e-07	2	0.00244140625	2.1097530677497407e-07	1	19249.061200121254	1
3	2.525385794933931	0.0002182324399355281	7558.0	19130.0	7557.10107421875	19132.5078125	0.898681640625	7.766001042386796e-05	2	0.89892578125	7.768110795454545e-05	1	645526.7318019731	1
2	18.701541204973925	0.0016161027657253652	7558.0	19130.0	7558.8486328125	19119.4921875	0.84912109375	7.337721169633598e-05	2	0.8486328125	7.333501663498099e-05	1	773737.5044080688	1
1	176.88213660440329	0.015285355738368759	7558.0	19130.0	7714.62890625	18457.06640625	166.19482421875	0.01436180644821552	2	41.62890625	0.003597382150881438	1	890934.2028626543	0
0	1475.132490742463	0.12747429059302307	7558.0	19130.0	12819.5498046875	12819.5498046875	5261.5498046875	0.4546793816701953	2	1475.132490742463	0.12747429059302307	3628800	5041.5398319003525	2
